D;COD_OS;COD_UNIDADE;COD_CONTRATO;ANO_MES_REF;TIPO;CODIGO;CNPJ;RAZAO;CPF;NOME;NUM_DOCUMENTO;SERIE;DESCRICAO;DATA_EMISSAO;DATA_VENCIMENTO;DATA_PAGAMENTO;DATA_APURACAO;VALOR_DOCUMENTO;VALOR_PAGO;DESPESA;RUBRICA;BANCO;AGENCIA;CONTA_CORRENTE;PMT_PAGA;QTDE_PMT;IDENT_BANCARIO;FLAG_JUSTIFICATIVA
D;10061;10062;003/2020;2020-05;NF;;69.034.668/0001-56;SODEXO PASS DO BRASIL SERVICOS E COMERCIO S.A;;;996253;;04CI112019.pdf;2019-10-11;2019-10-30;2020-05-10;2019-10-30;19951;611,83;07.03.01;57;999;999;999999;1;1;110103;N
D;10061;10062;003/2020;2020-05;NF;6108;05.343.029/0001-90;MEDLEVENSOHN COM REPRES PROD HOSP LTDA;;;39190;1;03HOS112019.pdf;2019-08-12;2019-09-11;2020-05-10;2019-08-12;6000;6000;02.14.01;211;999;999;999999;1;1;5,53E+14;N
D;10061;10062;003/2020;2020-05;NF;6108;05.343.029/0001-90;MEDLEVENSOHN COM REPRES PROD HOSP LTDA;;;40526;1;03HOS112019.pdf;2019-08-30;2019-09-29;2020-05-10;2019-08-30;6000;6000;02.14.01;212;999;999;999999;1;1;5,53E+14;N
D;10061;10062;003/2020;2020-05;NF;5102;30.481.712/0001-30;VIDRACARIA VILA GLASS COMERCIO E SERVICOS LTDA;;;403;1;07HOS112019.pdf;2019-11-05;2019-11-01;2020-05-10;2019-11-05;820;410;02.03.01;212;999;999;999999;1;2;110104;N
D;10061;10062;003/2020;2020-05;NF;5102;31.673.254/0010-95;LABORATORIO B.BRAUN S.A;;;365656;;10HOS112019.pdf;2019-08-14;2019-10-13;2020-05-10;2019-08-14;1780;1780;02.07.01;212;999;999;999999;1;1;110107;N
D;10061;10062;003/2020;2020-05;NF;5102;31.673.254/0010-95;LABORATORIO B.BRAUN S.A;;;365656;;10HOS112019.pdf;2019-08-14;2019-10-13;2020-05-10;2019-08-14;1780;33,82;07.03.01;212;999;999;999999;1;1;110107;N
D;10061;10062;003/2020;2020-05;NF;5405;15.243.937/0001-65;NANTES BRASIL ATACADO E VAREJO LTDA;;;12604;1;14HOS112019.pdf;2019-10-07;2019-10-21;2020-05-10;2019-10-07;3669,8;3669,8;02.12.01;212;999;999;999999;1;1;110111;N
D;10061;10062;003/2020;2020-05;NF;5405;15.243.937/0001-65;NANTES BRASIL ATACADO E VAREJO LTDA;;;12604;1;14HOS112019.pdf;2019-10-07;2019-10-21;2020-05-10;2019-10-07;3669,8;154,13;07.03.01;212;999;999;999999;1;1;110111;N
D;10061;10062;003/2020;2020-05;NF;5405;15.243.937/0001-65;NANTES BRASIL ATACADO E VAREJO LTDA;;;12655;1;15HOS112019.pdf;2019-10-14;2019-10-28;2020-05-10;2019-10-14;1277,95;1277,95;02.12.01;211;999;999;999999;1;1;110112;N
D;10061;10062;003/2020;2020-05;NF;5102;15.243.937/0001-65;NANTES BRASIL ATACADO E VAREJO LTDA;;;12655;1;15HOS112019.pdf;2019-10-14;2019-10-28;2020-05-10;2019-10-14;1277,95;35,79;07.03.01;211;999;999;999999;1;1;110112;N
D;10061;10062;003/2020;2020-05;NF;;69.034.668/0001-56;SODEXO PASS DO BRASIL SERVICOS E COMERCIO S.A;;;996245;;17HOS112019.pdf;2019-10-11;2019-10-30;2020-05-10;2019-10-11;59253,05;1817,09;07.03.01;59;999;999;999999;1;1;110114;N
D;10061;10062;003/2020;2020-05;NF;5405;20.650.862/0001-77;STOCK MED DISTRIBUIDORA DE PROD FARMACEUTICOS LTDA;;;8653;1;24HOS112019.pdf;2019-08-31;2019-09-28;2020-05-10;2019-08-31;3702,8;3702,8;02.07.01;211;999;999;999999;1;1;110121;N
D;10061;10062;003/2020;2020-05;NF;5101;06.180.302/0001-75;TEXTIL MCS TECIDOS E CONFECCOES LTDA - EPP;;;2523;1;25HOS112019.pdf;2019-08-07;2019-09-06;2020-05-10;2019-08-07;11659,5;11659,5;02.11.01;211;999;999;999999;1;1;110122;N
D;10061;10062;003/2020;2020-05;NF;5102;20.676.514/0001-79;ACREPRES PRODUTOS HOSPITALARES EIRELI;;;1992;1;27HOS112019.pdf;2019-10-07;2019-10-22;2020-05-10;2019-10-07;15548,9;10165,9;02.05.01;211;999;999;999999;1;1;110124;N
D;10061;10062;003/2020;2020-05;NF;5102;20.676.514/0001-79;ACREPRES PRODUTOS HOSPITALARES EIRELI;;;1992;1;27HOS112019.pdf;2019-10-07;2019-10-22;2020-05-10;2019-10-07;15548,9;5383;02.07.04;211;999;999;999999;1;1;110124;N
D;10061;10062;003/2020;2020-05;NF;5102;28.320.906/0001-02;DRL COMERCIO IMPORTACAO E EXPORTACAO EIRELI;;;30640;1;29HOS112019.pdf;2019-08-30;2019-09-27;2020-05-10;2019-08-30;5792,82;5792,82;02.14.01;211;999;999;999999;1;1;110126;N
